2024-11-23 16:53:00 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:01 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:02 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:03 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:05 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:06 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:07 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:08 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:09 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:10 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:11 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:12 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:13 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:14 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:15 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:16 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:17 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:18 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:19 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:20 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:21 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:22 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:23 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:24 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:26 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:27 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:28 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:29 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:30 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:31 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:32 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:53:33 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:13 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:15 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:16 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:17 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:18 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:19 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:20 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:21 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 16:54:39 - Latitud Promedio: 0.000000, Longitud Promedio: 0.000000
2024-11-23 17:02:13 - Latitud Promedio: -17.778865, Longitud Promedio: -63.157022
2024-11-23 17:02:14 - Latitud Promedio: -17.778862, Longitud Promedio: -63.157024
2024-11-23 17:02:15 - Latitud Promedio: -17.778853, Longitud Promedio: -63.157024
2024-11-23 17:02:16 - Latitud Promedio: -17.778843, Longitud Promedio: -63.157024
2024-11-23 17:02:17 - Latitud Promedio: -17.778834, Longitud Promedio: -63.157022
2024-11-23 17:02:18 - Latitud Promedio: -17.778825, Longitud Promedio: -63.157019
2024-11-23 17:02:19 - Latitud Promedio: -17.778822, Longitud Promedio: -63.157020
2024-11-23 17:02:20 - Latitud Promedio: -17.778817, Longitud Promedio: -63.157020
2024-11-23 17:02:21 - Latitud Promedio: -17.778812, Longitud Promedio: -63.157019
2024-11-23 17:02:23 - Latitud Promedio: -17.778807, Longitud Promedio: -63.157020
2024-11-23 17:02:24 - Latitud Promedio: -17.778796, Longitud Promedio: -63.157019
2024-11-23 17:02:25 - Latitud Promedio: -17.778780, Longitud Promedio: -63.157017
2024-11-23 17:02:26 - Latitud Promedio: -17.778765, Longitud Promedio: -63.157016
2024-11-23 17:02:27 - Latitud Promedio: -17.778759, Longitud Promedio: -63.157015
2024-11-23 17:02:28 - Latitud Promedio: -17.778753, Longitud Promedio: -63.157018
2024-11-23 17:02:29 - Latitud Promedio: -17.778749, Longitud Promedio: -63.157021
2024-11-23 17:02:30 - Latitud Promedio: -17.778747, Longitud Promedio: -63.157024
2024-11-23 17:02:31 - Latitud Promedio: -17.778747, Longitud Promedio: -63.157028
2024-11-23 17:02:32 - Latitud Promedio: -17.778750, Longitud Promedio: -63.157035
2024-11-23 17:02:33 - Latitud Promedio: -17.778755, Longitud Promedio: -63.157039
2024-11-23 17:02:34 - Latitud Promedio: -17.778758, Longitud Promedio: -63.157048
2024-11-23 17:02:35 - Latitud Promedio: -17.778757, Longitud Promedio: -63.157062
2024-11-23 17:02:36 - Latitud Promedio: -17.778757, Longitud Promedio: -63.157071
2024-11-23 17:02:37 - Latitud Promedio: -17.778759, Longitud Promedio: -63.157079
2024-11-23 17:02:38 - Latitud Promedio: -17.778760, Longitud Promedio: -63.157084
2024-11-23 17:02:39 - Latitud Promedio: -17.778762, Longitud Promedio: -63.157086
2024-11-23 17:02:40 - Latitud Promedio: -17.778767, Longitud Promedio: -63.157084
2024-11-23 17:02:41 - Latitud Promedio: -17.778768, Longitud Promedio: -63.157086
2024-11-23 17:02:42 - Latitud Promedio: -17.778767, Longitud Promedio: -63.157088
2024-11-23 17:02:43 - Latitud Promedio: -17.778765, Longitud Promedio: -63.157088
2024-11-23 17:02:44 - Latitud Promedio: -17.778761, Longitud Promedio: -63.157095
2024-11-23 17:02:45 - Latitud Promedio: -17.778756, Longitud Promedio: -63.157101
2024-11-23 17:02:46 - Latitud Promedio: -17.778753, Longitud Promedio: -63.157108
2024-11-23 17:02:47 - Latitud Promedio: -17.778753, Longitud Promedio: -63.157114
2024-11-23 17:02:48 - Latitud Promedio: -17.778751, Longitud Promedio: -63.157123
2024-11-23 17:02:49 - Latitud Promedio: -17.778750, Longitud Promedio: -63.157128
